BasinID	UCIID	OperationNumber
101	1	11
102	1	21
103	1	31
104	1	41
105	1	51
106	1	61
107	1	71
108	1	81
109	1	91
110	1	101
111	1	111
112	1	121
113	1	131
114	1	141
115	1	151
116	1	161
117	1	171
118	1	181
119	1	191
120	1	201
121	1	211
122	1	221
123	1	231
124	1	241
125	1	251
126	1	261
127	1	271
128	1	281
129	1	291
131	1	311
132	1	321
133	1	331
134	1	341
135	1	351
136	1	361
137	1	371
138	1	381
139	1	391
140	1	401
141	1	411
142	1	421
100	1	501
81	1	811
82	1	821
83	1	831
84	1	841
85	1	851
86	1	861
87	1	871
88	1	881
89	1	891
91	1	911
92	1	921
93	1	931
94	1	941
95	1	951
96	1	961
97	1	971
98	1	981
99	1	991
130	2	131
29	2	291
30	2	301
31	2	311
32	2	321
33	2	331
34	2	341
35	2	351
37	2	371
38	2	381
40	2	401
41	2	411
42	2	421
43	2	431
44	2	441
45	2	451
46	2	461
47	2	471
48	2	481
49	2	491
50	2	501
51	2	511
52	2	521
53	2	531
54	2	541
55	2	551
56	2	561
57	2	571
58	2	581
59	2	591
60	2	601
61	2	611
62	2	621
63	2	631
64	2	641
65	2	651
66	2	661
67	2	671
68	2	681
69	2	691
70	2	701
71	2	711
72	2	721
73	2	731
74	2	741
75	2	751
76	2	761
77	2	771
78	2	781
79	2	791
80	2	801
1	3	11
2	3	21
3	3	31
4	3	41
5	3	51
6	3	61
7	3	71
8	3	81
9	3	91
10	3	101
11	3	111
12	3	121
13	3	131
14	3	141
15	3	151
16	3	161
17	3	171
18	3	181
19	3	191
20	3	201
21	3	211
22	3	221
23	3	231
24	3	241
25	3	251
26	3	261
27	3	271
28	3	281
36	3	361
39	3	391
143	3	431
144	3	441
145	3	451
146	3	461
147	3	471
148	3	481
149	3	491
150	3	501
151	3	511
152	3	521
153	3	531
154	3	541
155	3	551
156	3	561
157	3	571
158	3	581
159	3	591
160	3	601
161	3	611
162	3	621
163	3	631
164	3	641
165	3	651
166	3	661
167	3	671
168	3	681
169	3	691
170	3	701
172	3	721
