BasinID	UCIID	OperationNumber
101	1	11
102	1	21
103	1	31
104	1	41
105	1	51
106	1	61
107	1	71
108	1	81
109	1	91
110	1	101
111	1	111
112	1	121
113	1	131
114	1	141
115	1	151
116	1	161
117	1	171
118	1	181
119	1	191
120	1	201
121	1	211
122	1	221
123	1	231
124	1	241
125	1	251
100	1	501
81	1	811
82	1	821
83	1	831
84	1	841
85	1	851
86	1	861
87	1	871
88	1	881
89	1	891
91	1	911
92	1	921
93	1	931
94	1	941
95	1	951
96	1	961
97	1	971
99	1	991
130	2	131
29	2	291
30	2	301
31	2	311
32	2	321
33	2	331
34	2	341
35	2	351
37	2	371
38	2	381
40	2	401
41	2	411
42	2	421
43	2	431
44	2	441
45	2	451
46	2	461
47	2	471
48	2	481
49	2	491
50	2	501
51	2	511
52	2	521
54	2	541
55	2	551
56	2	561
57	2	571
67	2	671
68	2	681
69	2	691
70	2	701
71	2	711
72	2	721
73	2	731
74	2	741
75	2	751
76	2	761
77	2	771
11	3	111
14	3	141
20	3	201
22	3	221
27	3	271
28	3	281
36	3	361
39	3	391
