BasinID	UCIID	OperationNumber
126	1	261
127	1	271
128	1	281
129	1	291
131	1	311
132	1	321
133	1	331
134	1	341
135	1	351
136	1	361
137	1	371
138	1	381
139	1	391
140	1	401
141	1	411
142	1	421
98	1	981
53	2	531
58	2	581
59	2	591
60	2	601
61	2	611
62	2	621
63	2	631
64	2	641
65	2	651
66	2	661
78	2	781
79	2	791
80	2	801
1	3	11
2	3	21
3	3	31
4	3	41
5	3	51
6	3	61
7	3	71
8	3	81
9	3	91
10	3	101
12	3	121
13	3	131
15	3	151
16	3	161
17	3	171
18	3	181
19	3	191
21	3	211
23	3	231
24	3	241
25	3	251
26	3	261
143	3	431
144	3	441
145	3	451
146	3	461
147	3	471
148	3	481
149	3	491
150	3	501
151	3	511
152	3	521
153	3	531
154	3	541
155	3	551
156	3	561
157	3	571
158	3	581
159	3	591
160	3	601
161	3	611
162	3	621
163	3	631
164	3	641
165	3	651
166	3	661
167	3	671
168	3	681
169	3	691
170	3	701
172	3	721
