BasinID	LandSegmentID
1	11
1	12
1	13
1	14
1	15
2	21
2	22
2	23
2	24
2	25
3	31
3	32
3	33
3	34
3	35
4	41
4	42
4	43
4	44
4	45
5	51
5	52
5	53
5	54
5	55
6	61
6	62
6	64
6	65
7	71
7	72
7	73
7	74
7	75
8	81
8	82
8	83
8	85
9	91
9	92
9	93
9	94
9	95
10	101
10	102
10	103
10	104
10	105
12	121
12	122
12	123
12	124
12	125
13	131
13	132
13	133
13	134
13	135
15	151
15	152
15	153
15	154
15	155
16	161
16	162
16	163
16	164
16	165
17	171
17	172
17	173
17	174
17	175
18	181
18	182
18	183
18	184
18	185
19	191
19	192
19	193
19	194
19	195
21	211
21	212
21	213
21	214
21	215
23	231
23	232
23	233
23	234
23	235
24	241
24	242
24	243
24	244
24	245
25	251
25	252
25	253
25	254
25	255
26	261
26	262
26	263
26	264
26	265
53	531
53	532
53	533
53	534
53	535
58	581
58	582
58	583
58	585
59	591
59	592
59	593
59	595
60	601
60	602
60	603
60	604
60	605
61	611
61	612
61	613
61	614
61	615
62	621
62	622
62	623
62	624
62	625
63	631
63	632
63	633
63	634
63	635
64	641
64	642
64	643
64	644
64	645
65	651
65	652
65	653
65	654
65	655
66	661
66	662
66	663
66	664
66	665
78	781
78	782
78	783
78	785
79	791
79	792
79	793
79	794
79	795
80	801
80	802
80	803
80	805
98	981
98	982
98	983
98	984
98	985
126	1261
126	1262
126	1263
126	1264
126	1265
127	1271
127	1272
127	1273
127	1274
127	1275
128	1281
128	1282
128	1283
128	1284
128	1285
129	1291
129	1292
129	1293
129	1295
131	1311
131	1312
131	1313
131	1315
132	1321
132	1322
132	1323
132	1325
133	1331
133	1332
133	1333
133	1334
133	1335
134	1341
134	1342
134	1343
134	1344
134	1345
135	1351
135	1352
135	1353
135	1354
135	1355
136	1361
136	1362
136	1363
136	1365
137	1371
137	1372
137	1373
137	1374
137	1375
138	1381
138	1382
138	1383
138	1385
139	1391
139	1392
139	1393
139	1394
139	1395
140	1401
140	1402
140	1403
140	1405
141	1411
141	1412
141	1413
141	1414
141	1415
142	1421
142	1422
142	1423
142	1424
142	1425
143	1431
143	1432
143	1433
143	1434
143	1435
144	1441
144	1442
144	1443
144	1444
144	1445
145	1451
145	1452
145	1453
145	1454
145	1455
146	1461
146	1462
146	1463
146	1464
146	1465
147	1471
147	1472
147	1473
147	1474
147	1475
148	1481
148	1482
148	1483
148	1484
148	1485
149	1491
149	1492
149	1493
149	1494
149	1495
150	1501
150	1502
150	1503
150	1504
150	1505
151	1511
151	1512
151	1513
151	1514
151	1515
152	1521
152	1522
152	1523
152	1524
152	1525
153	1531
153	1532
153	1533
153	1534
153	1535
154	1541
154	1542
154	1543
154	1544
154	1545
155	1551
155	1552
155	1553
155	1554
155	1555
156	1561
156	1562
156	1563
156	1564
156	1565
157	1571
157	1572
157	1573
157	1574
157	1575
158	1581
158	1582
158	1583
158	1584
158	1585
159	1591
159	1592
159	1593
159	1594
159	1595
160	1601
160	1602
160	1603
160	1604
160	1605
161	1611
161	1612
161	1613
161	1614
161	1615
162	1621
162	1622
162	1623
162	1624
162	1625
163	1631
163	1632
163	1633
163	1634
163	1635
164	1641
164	1642
164	1643
164	1644
164	1645
165	1651
165	1652
165	1653
165	1654
165	1655
166	1661
166	1662
166	1663
166	1664
166	1665
167	1671
167	1672
167	1673
167	1674
167	1675
168	1681
168	1682
168	1683
168	1684
168	1685
169	1691
169	1692
169	1693
169	1694
170	1701
170	1702
170	1703
170	1705
172	1721
172	1722
172	1723
172	1725
