BasinID	LandSegmentID
11	111
11	112
11	113
11	114
11	115
14	141
14	142
14	143
14	144
14	145
20	201
20	202
20	203
20	204
20	205
22	221
22	222
22	224
22	225
27	271
27	272
27	273
27	274
27	275
28	281
28	282
28	283
28	284
28	285
29	291
29	292
29	293
29	294
29	295
30	301
30	302
30	303
30	304
30	305
31	311
31	312
31	313
31	314
31	315
32	321
32	322
32	323
32	324
32	325
33	331
33	332
33	333
33	334
33	335
114	1141
114	1142
114	1143
114	1144
114	1145
115	1151
115	1152
115	1153
115	1154
115	1155
116	1161
116	1162
116	1163
116	1164
116	1165
117	1171
117	1172
117	1173
117	1174
117	1175
