BasinID	LandSegmentID
54	541
54	542
54	543
54	544
54	545
55	551
55	552
55	553
55	554
55	555
56	561
56	562
56	563
56	565
57	571
57	572
57	573
57	574
57	575
67	671
67	672
67	673
67	674
67	675
68	681
68	682
68	683
68	684
68	685
69	691
69	692
69	693
69	695
70	701
70	702
70	703
70	704
70	705
71	711
71	712
71	713
71	714
71	715
72	721
72	722
72	723
72	725
73	731
73	732
73	733
73	734
73	735
74	741
74	742
74	743
74	744
74	745
75	751
75	752
75	753
75	754
75	755
76	761
76	762
76	763
76	765
77	771
77	772
77	773
77	774
77	775
130	1301
130	1302
130	1303
130	1304
130	1305
