BasinID	LandSegmentID
34	341
34	342
34	343
34	345
35	351
35	352
35	354
35	355
36	361
36	362
36	363
36	364
36	365
37	371
37	372
37	373
37	374
37	375
38	381
38	382
38	383
38	385
39	391
39	392
39	393
39	395
40	401
40	402
40	403
40	405
41	411
41	412
41	413
41	414
41	415
42	421
42	422
42	423
42	425
43	431
43	432
43	434
43	435
44	441
44	442
44	444
44	445
45	451
45	452
45	455
46	461
46	462
46	463
46	464
46	465
47	471
47	472
47	473
47	474
47	475
48	481
48	482
48	483
48	484
48	485
49	491
49	492
49	493
49	494
49	495
50	501
50	502
50	503
50	504
50	505
51	511
51	512
51	513
51	515
52	521
52	522
52	523
52	524
52	525
