  IWAT-PARM2
*** <ILS >      LSUR     SLSUR      NSUR     RETSC
*** x -  x      (ft)                          (ft)
***<IHM_IWAT_PARM2>
   11             49     0.001     0.100     0.121
   21             55     0.001     0.100     0.121
   31             57     0.001     0.100     0.121
   41             55     0.001     0.100     0.121
   51             53     0.001     0.100     0.120
   61             56     0.001     0.100     0.120
   71             50     0.001     0.100     0.133
   81             63     0.001     0.100     0.121
   91             33     0.001     0.100     0.133
  101             64     0.001     0.100     0.121
  111             71     0.001     0.100     0.120
  121             52     0.001     0.100     0.122
  131             57     0.001     0.100     0.121
  141             64     0.001     0.100     0.121
  151             84     0.001     0.100     0.121
  161             45     0.001     0.100     0.122
  171             40     0.001     0.100     0.120
  181             66     0.001     0.100     0.120
  191             55     0.001     0.100     0.121
  201             62     0.001     0.100     0.120
  211             65     0.001     0.100     0.120
  221             55     0.001     0.100     0.121
  231             59     0.001     0.100     0.121
  241             59     0.001     0.100     0.120
  251             52     0.001     0.100     0.120
  261             72     0.001     0.100     0.120
  271             67     0.001     0.100     0.120
  281             80     0.001     0.100     0.120
  291             79     0.001     0.100     0.120
  311             67     0.001     0.100     0.120
  321             73     0.001     0.100     0.120
  331             73     0.001     0.100     0.120
  341             72     0.001     0.100     0.120
  351             74     0.001     0.100     0.121
  361             63     0.001     0.100     0.120
  371             91     0.001     0.100     0.120
  381             87     0.001     0.100     0.120
  391             86     0.001     0.100     0.120
  401             71     0.001     0.100     0.120
  411             81     0.001     0.100     0.121
  421             72     0.001     0.100     0.121
  501             68     0.001     0.100     0.121
  811             64     0.001     0.100     0.121
  821             56     0.001     0.100     0.121
  831             61     0.001     0.100     0.121
  841             75     0.001     0.100     0.120
  851             57     0.001     0.100     0.121
  861             61     0.001     0.100     0.120
  871             42     0.001     0.100     0.121
  881             76     0.001     0.100     0.120
  891             49     0.001     0.100     0.121
  911             44     0.001     0.100     0.124
  921             30     0.001     0.100     0.120
  931             46     0.001     0.100     0.122
  941             58     0.001     0.100     0.121
  951             56     0.001     0.100     0.122
  961             57     0.001     0.100     0.121
  971             77     0.001     0.100     0.120
  981             57     0.001     0.100     0.120
  991             66     0.001     0.100     0.120
***</IHM_IWAT_PARM2>

  END IWAT-PARM2
