  IWAT-PARM2
*** <ILS >      LSUR     SLSUR      NSUR     RETSC
*** x -  x      (ft)                          (ft)
***<IHM_IWAT_PARM2>
   11             68     0.001     0.100     0.122
   21             62     0.001     0.100     0.122
   31             60     0.001     0.100     0.120
   41             71     0.001     0.100     0.120
   51             61     0.001     0.100     0.121
   61             99     0.001     0.100     0.120
   71             71     0.001     0.100     0.120
   81             78     0.001     0.100     0.120
   91             74     0.001     0.100     0.120
  101             49     0.001     0.100     0.125
  111             71     0.001     0.100     0.120
  121             66     0.001     0.100     0.121
  131             40     0.001     0.100     0.121
  141             63     0.001     0.100     0.120
  151             61     0.001     0.100     0.120
  161             67     0.001     0.100     0.121
  171             52     0.001     0.100     0.120
  181             57     0.001     0.100     0.124
  191             64     0.001     0.100     0.120
  201             53     0.001     0.100     0.120
  211             49     0.001     0.100     0.127
  221             35     0.001     0.100     0.120
  231             66     0.001     0.100     0.121
  241             63     0.001     0.100     0.120
  251             54     0.001     0.100     0.122
  261             61     0.001     0.100     0.120
  271             38     0.001     0.100     0.120
  281             70     0.001     0.100     0.120
  361             69     0.001     0.100     0.120
  391             68     0.001     0.100     0.120
  431             59     0.001     0.100     0.120
  441             65     0.001     0.100     0.120
  451             47     0.001     0.100     0.120
  461             37     0.001     0.100     0.120
  471             37     0.001     0.100     0.120
  481             54     0.001     0.100     0.120
  491             48     0.001     0.100     0.121
  501             60     0.001     0.100     0.120
  511             70     0.001     0.100     0.120
  521             58     0.001     0.100     0.121
  531             60     0.001     0.100     0.120
  541             67     0.001     0.100     0.121
  551             68     0.001     0.100     0.120
  561             73     0.001     0.100     0.121
  571             38     0.001     0.100     0.120
  581             69     0.001     0.100     0.123
  591             64     0.001     0.100     0.121
  601             71     0.001     0.100     0.120
  611             61     0.001     0.100     0.121
  621             65     0.001     0.100     0.121
  631             75     0.001     0.100     0.121
  641             69     0.001     0.100     0.120
  651             78     0.001     0.100     0.120
  661             73     0.001     0.100     0.120
  671             75     0.001     0.100     0.120
  681             61     0.001     0.100     0.120
  691             30     0.001     0.100     0.120
  701             97     0.001     0.100     0.120
  721             50     0.001     0.100     0.121
***</IHM_IWAT_PARM2>

  END IWAT-PARM2
