  IWAT-PARM2
*** <ILS >      LSUR     SLSUR      NSUR     RETSC
*** x -  x      (ft)                          (ft)
***<IHM_IWAT_PARM2>
  131             65     0.001     0.100     0.120
  291             56     0.001     0.100     0.120
  301             51     0.001     0.100     0.123
  311             54     0.001     0.100     0.121
  321             65     0.001     0.100     0.120
  331             79     0.001     0.100     0.121
  341             70     0.001     0.100     0.121
  351             58     0.001     0.100     0.120
  371             75     0.001     0.100     0.120
  381             67     0.001     0.100     0.120
  401             67     0.001     0.100     0.120
  411             54     0.001     0.100     0.120
  421             72     0.001     0.100     0.120
  431             82     0.001     0.100     0.120
  441             49     0.001     0.100     0.120
  451            100     0.001     0.100     0.120
  461             62     0.001     0.100     0.120
  471             49     0.001     0.100     0.122
  481             91     0.001     0.100     0.121
  491             54     0.001     0.100     0.121
  501             61     0.001     0.100     0.121
  511             52     0.001     0.100     0.123
  521             70     0.001     0.100     0.120
  531             60     0.001     0.100     0.120
  541             49     0.001     0.100     0.122
  551             51     0.001     0.100     0.121
  561             53     0.001     0.100     0.121
  571             57     0.001     0.100     0.121
  581             61     0.001     0.100     0.120
  591             65     0.001     0.100     0.120
  601             65     0.001     0.100     0.120
  611             64     0.001     0.100     0.120
  621             66     0.001     0.100     0.120
  631             71     0.001     0.100     0.120
  641             70     0.001     0.100     0.120
  651             78     0.001     0.100     0.120
  661             66     0.001     0.100     0.120
  671             66     0.001     0.100     0.120
  681             67     0.001     0.100     0.121
  691             80     0.001     0.100     0.120
  701             56     0.001     0.100     0.121
  711             58     0.001     0.100     0.120
  721             72     0.001     0.100     0.121
  731             58     0.001     0.100     0.120
  741             61     0.001     0.100     0.120
  751             74     0.001     0.100     0.120
  761             62     0.001     0.100     0.120
  771             75     0.001     0.100     0.120
  781             68     0.001     0.100     0.120
  791             78     0.001     0.100     0.120
  801             78     0.001     0.100     0.120
***</IHM_IWAT_PARM2>

  END IWAT-PARM2
