  MON-INTERCEP
*** <PLS >  Interception storage capacity at start of each month (in)
*** x -  x  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC
***<IHM_MON_INTERCEP>
   11     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
   12     0.0100.0190.0290.0520.0520.0520.0520.0520.0520.0520.0290.019
   13     0.0140.0280.0420.0750.0750.0750.0750.0750.0750.0750.0420.028
   14     0.0110.0210.0320.0570.0570.0570.0570.0570.0570.0570.0320.021
   15     0.0070.0150.0220.0390.0390.0390.0390.0390.0390.0390.0220.015
   21     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
   22     0.0100.0200.0290.0520.0520.0520.0520.0520.0520.0520.0290.020
   23     0.0130.0260.0390.0700.0700.0700.0700.0700.0700.0700.0390.026
   24     0.0080.0160.0240.0430.0430.0430.0430.0430.0430.0430.0240.016
   25     0.0080.0150.0230.0400.0400.0400.0400.0400.0400.0400.0230.015
   31     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
   32     0.0100.0200.0310.0550.0550.0550.0550.0550.0550.0550.0310.020
   33     0.0110.0220.0340.0600.0600.0600.0600.0600.0600.0600.0340.022
   34     0.0090.0190.0280.0500.0500.0500.0500.0500.0500.0500.0280.019
   35     0.0080.0150.0230.0410.0410.0410.0410.0410.0410.0410.0230.015
   41     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
   42     0.0090.0190.0280.0500.0500.0500.0500.0500.0500.0500.0280.019
   43     0.0130.0260.0400.0700.0700.0700.0700.0700.0700.0700.0400.026
   44     0.0110.0220.0330.0590.0590.0590.0590.0590.0590.0590.0330.022
   45     0.0070.0150.0220.0400.0400.0400.0400.0400.0400.0400.0220.015
   51     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
   52     0.0100.0200.0310.0550.0550.0550.0550.0550.0550.0550.0310.020
   53     0.0120.0230.0350.0620.0620.0620.0620.0620.0620.0620.0350.023
   54     0.0100.0190.0290.0510.0510.0510.0510.0510.0510.0510.0290.019
   55     0.0080.0150.0230.0400.0400.0400.0400.0400.0400.0400.0230.015
   61     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
   62     0.0110.0220.0330.0590.0590.0590.0590.0590.0590.0590.0330.022
   64     0.0070.0140.0220.0380.0380.0380.0380.0380.0380.0380.0220.014
   65     0.0080.0150.0230.0410.0410.0410.0410.0410.0410.0410.0230.015
   71     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
   72     0.0100.0190.0290.0510.0510.0510.0510.0510.0510.0510.0290.019
   73     0.0130.0270.0400.0710.0710.0710.0710.0710.0710.0710.0400.027
   74     0.0100.0190.0290.0520.0520.0520.0520.0520.0520.0520.0290.019
   75     0.0070.0150.0220.0400.0400.0400.0400.0400.0400.0400.0220.015
   81     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
   82     0.0100.0190.0290.0510.0510.0510.0510.0510.0510.0510.0290.019
   83     0.0140.0280.0420.0750.0750.0750.0750.0750.0750.0750.0420.028
   85     0.0080.0150.0230.0410.0410.0410.0410.0410.0410.0410.0230.015
   91     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
   92     0.0100.0190.0290.0510.0510.0510.0510.0510.0510.0510.0290.019
   93     0.0090.0190.0280.0500.0500.0500.0500.0500.0500.0500.0280.019
