  MON-INTERCEP
*** <PLS >  Interception storage capacity at start of each month (in)
*** x -  x  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC
***<IHM_MON_INTERCEP>
  131     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  132     0.0080.0170.0250.0450.0450.0450.0450.0450.0450.0450.0250.017
  133     0.0120.0240.0360.0640.0640.0640.0640.0640.0640.0640.0360.024
  134     0.0110.0230.0340.0610.0610.0610.0610.0610.0610.0610.0340.023
  135     0.0070.0150.0220.0400.0400.0400.0400.0400.0400.0400.0220.015
  291     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  292     0.0090.0190.0280.0500.0500.0500.0500.0500.0500.0500.0280.019
  293     0.0090.0180.0270.0490.0490.0490.0490.0490.0490.0490.0270.018
  294     0.0070.0140.0220.0380.0380.0380.0380.0380.0380.0380.0220.014
  295     0.0080.0150.0230.0400.0400.0400.0400.0400.0400.0400.0230.015
  301     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  302     0.0100.0200.0290.0520.0520.0520.0520.0520.0520.0520.0290.020
  303     0.0110.0220.0340.0600.0600.0600.0600.0600.0600.0600.0340.022
  304     0.0070.0140.0220.0380.0380.0380.0380.0380.0380.0380.0220.014
  305     0.0080.0150.0230.0410.0410.0410.0410.0410.0410.0410.0230.015
  311     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  312     0.0100.0200.0300.0530.0530.0530.0530.0530.0530.0530.0300.020
  313     0.0100.0190.0290.0510.0510.0510.0510.0510.0510.0510.0290.019
  314     0.0080.0160.0240.0430.0430.0430.0430.0430.0430.0430.0240.016
  315     0.0080.0150.0230.0410.0410.0410.0410.0410.0410.0410.0230.015
  321     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  322     0.0100.0190.0290.0520.0520.0520.0520.0520.0520.0520.0290.019
  323     0.0120.0230.0350.0620.0620.0620.0620.0620.0620.0620.0350.023
  324     0.0080.0170.0250.0450.0450.0450.0450.0450.0450.0450.0250.017
  325     0.0080.0150.0230.0410.0410.0410.0410.0410.0410.0410.0230.015
  331     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  332     0.0100.0190.0290.0520.0520.0520.0520.0520.0520.0520.0290.019
  333     0.0130.0250.0380.0670.0670.0670.0670.0670.0670.0670.0380.025
  334     0.0070.0140.0220.0380.0380.0380.0380.0380.0380.0380.0220.014
  335     0.0070.0150.0220.0390.0390.0390.0390.0390.0390.0390.0220.015
  341     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  342     0.0100.0200.0300.0530.0530.0530.0530.0530.0530.0530.0300.020
  343     0.0130.0260.0390.0680.0680.0680.0680.0680.0680.0680.0390.026
  345     0.0070.0150.0220.0400.0400.0400.0400.0400.0400.0400.0220.015
  351     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  352     0.0100.0210.0310.0550.0550.0550.0550.0550.0550.0550.0310.021
  354     0.0070.0140.0220.0380.0380.0380.0380.0380.0380.0380.0220.014
  355     0.0080.0150.0230.0410.0410.0410.0410.0410.0410.0410.0230.015
  371     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  372     0.0110.0210.0320.0560.0560.0560.0560.0560.0560.0560.0320.021
  373     0.0110.0230.0340.0600.0600.0600.0600.0600.0600.0600.0340.023
  374     0.0070.0140.0220.0380.0380.0380.0380.0380.0380.0380.0220.014
  375     0.0070.0150.0220.0400.0400.0400.0400.0400.0400.0400.0220.015
  381     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  382     0.0090.0170.0260.0460.0460.0460.0460.0460.0460.0460.0260.017
  383     0.0110.0230.0340.0610.0610.0610.0610.0610.0610.0610.0340.023
  385     0.0070.0150.0220.0390.0390.0390.0390.0390.0390.0390.0220.015
  401     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  402     0.0090.0180.0270.0480.0480.0480.0480.0480.0480.0480.0270.018
  403     0.0110.0220.0330.0590.0590.0590.0590.0590.0590.0590.0330.022
  405     0.0070.0150.0220.0400.0400.0400.0400.0400.0400.0400.0220.015
  411     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  412     0.0100.0200.0300.0530.0530.0530.0530.0530.0530.0530.0300.020
  413     0.0140.0270.0410.0720.0720.0720.0720.0720.0720.0720.0410.027
  414     0.0070.0140.0220.0380.0380.0380.0380.0380.0380.0380.0220.014
  415     0.0080.0150.0230.0410.0410.0410.0410.0410.0410.0410.0230.015
  421     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  422     0.0100.0200.0300.0530.0530.0530.0530.0530.0530.0530.0300.020
  423     0.0140.0280.0420.0750.0750.0750.0750.0750.0750.0750.0420.028
  425     0.0070.0150.0220.0390.0390.0390.0390.0390.0390.0390.0220.015
  431     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  432     0.0110.0220.0330.0590.0590.0590.0590.0590.0590.0590.0330.022
  434     0.0070.0140.0220.0380.0380.0380.0380.0380.0380.0380.0220.014
  435     0.0080.0150.0230.0410.0410.0410.0410.0410.0410.0410.0230.015
  441     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  442     0.0100.0190.0290.0510.0510.0510.0510.0510.0510.0510.0290.019
  444     0.0080.0170.0250.0450.0450.0450.0450.0450.0450.0450.0250.017
  445     0.0080.0150.0230.0410.0410.0410.0410.0410.0410.0410.0230.015
  451     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  452     0.0100.0200.0300.0540.0540.0540.0540.0540.0540.0540.0300.020
  455     0.0080.0150.0230.0410.0410.0410.0410.0410.0410.0410.0230.015
  461     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  462     0.0090.0190.0280.0500.0500.0500.0500.0500.0500.0500.0280.019
  463     0.0140.0270.0410.0730.0730.0730.0730.0730.0730.0730.0410.027
  464     0.0070.0140.0220.0380.0380.0380.0380.0380.0380.0380.0220.014
  465     0.0080.0150.0230.0400.0400.0400.0400.0400.0400.0400.0230.015
  471     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  472     0.0100.0190.0290.0510.0510.0510.0510.0510.0510.0510.0290.019
  473     0.0120.0230.0350.0620.0620.0620.0620.0620.0620.0620.0350.023
  474     0.0070.0140.0220.0380.0380.0380.0380.0380.0380.0380.0220.014
  475     0.0080.0150.0230.0410.0410.0410.0410.0410.0410.0410.0230.015
  481     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
  482     0.0090.0190.0280.0500.0500.0500.0500.0500.0500.0500.0280.019
  483     0.0050.0100.0140.0260.0260.0260.0260.0260.0260.0260.0140.010
  484     0.0110.0220.0330.0590.0590.0590.0590.0590.0590.0590.0330.022
  485     0.0060.0130.0190.0330.0330.0330.0330.0330.0330.0330.0190.013
  491     0.0240.0480.0720.1280.1280.1280.1280.1280.1280.1280.0720.048
