  PWAT-PARM2
*** < PLS>    FOREST      LZSN    INFILT      LSUR     SLSUR     KVARY     AGWRC
*** x  - x                (in)   (in/hr)      (ft)              (1/in)   (1/day)
***<IHM_PWAT_PARM2>
   11              0      0.01     0.709       400   0.00485         0      0.99
   12              0      0.01     0.684       161   0.00458         0      0.99
   13              0      0.01     0.694       191   0.00602         0      0.99
   14              0      0.01     0.714       145   0.00585         0      0.99
   15              0      0.01     0.714        78   0.00413         0      0.99
   21              0      0.01     0.678       400   0.00491         0      0.99
   22              0      0.01     0.699       161   0.00424         0      0.99
   23              0      0.01     0.690       184   0.00489         0      0.99
   24              0      0.01     0.710       247   0.00543         0      0.99
   25              0      0.01     0.687        79   0.00457         0      0.99
   31              0      0.01     0.714       400   0.01075         0      0.99
   32              0      0.01     0.731       160   0.00741         0      0.99
   33              0      0.01     0.722       240   0.00746         0      0.99
   35              0      0.01     0.750        80   0.00768         0      0.99
   41              0      0.01     0.648       400   0.00391         0      0.99
   42              0      0.01     0.666       164   0.00402         0      0.99
   43              0      0.01     0.656       162    0.0039         0      0.99
   44              0      0.01     0.714       300   0.00327         0      0.99
   45              0      0.01     0.664        79   0.00431         0      0.99
   51              0      0.01     0.679       400   0.00348         0      0.99
   52              0      0.01     0.712       180   0.00319         0      0.99
   53              0      0.01     0.705       195   0.00577         0      0.99
   54              0      0.01     0.714       300   0.00408         0      0.99
   55              0      0.01     0.700        78    0.0036         0      0.99
   61              0      0.01     0.536       400   0.00414         0      0.99
   62              0      0.01     0.714       164   0.00518         0      0.99
   63              0      0.01     0.714       162   0.00273         0      0.99
   64              0      0.01     0.714       300    0.0047         0      0.99
   65              0      0.01     0.711        80   0.00511         0      0.99
   71              0      0.01     0.650       400   0.00113         0      0.99
   72              0      0.01     0.673       218   0.00128         0      0.99
   73              0      0.01     0.672       160   0.00216         0      0.99
   75              0      0.01     0.714        75   0.00055         0      0.99
   81              0      0.01     0.709       400   0.00186         0      0.99
   82              0      0.01     0.709       177   0.00169         0      0.99
   83              0      0.01     0.707       162   0.00218         0      0.99
   84              0      0.01     0.660       167   0.00264         0      0.99
   85              0      0.01     0.709        76   0.00198         0      0.99
   91              0      0.01     0.718       400   0.00238         0      0.99
   92              0      0.01     0.714       178   0.00146         0      0.99
   94              0      0.01     0.714       300    0.0005         0      0.99
   95              0      0.01     0.714        80   0.00072         0      0.99
  101              0      0.01     0.614       400   0.00285         0      0.99
  102              0      0.01     0.653       180   0.00357         0      0.99
  103              0      0.01     0.673       224   0.00727         0      0.99
  104              0      0.01     0.714       100   0.00486         0      0.99
  105              0      0.01     0.708        73   0.00453         0      0.99
  111              0      0.01     3.628       400   0.00729         0      0.99
  112              0      0.01     3.586       160   0.00758         0      0.99
  113              0      0.01     3.553       231   0.00657         0      0.99
  114              0      0.01     3.555       147   0.00571         0      0.99
  115              0      0.01     3.533        67   0.00504         0      0.99
  121              0      0.01     3.524       400   0.00175         0      0.99
  122              0      0.01     3.542       218   0.00144         0      0.99
  123              0      0.01     3.525       209   0.00267         0      0.99
  124              0      0.01     3.555       300   0.00069         0      0.99
  125              0      0.01     3.544        64   0.00271         0      0.99
  131              0      0.01     3.602       400   0.00151         0      0.99
  132              0      0.01     3.566       231   0.00131         0      0.99
  133              0      0.01     3.555       160   0.00095         0      0.99
  134              0      0.01     3.555       300   0.00208         0      0.99
  135              0      0.01     3.612        67   0.00146         0      0.99
  141              0      0.01     1.977       400   0.00624         0      0.99
  142              0      0.01     2.029       162   0.00478         0      0.99
  143              0      0.01     2.072       203   0.00791         0      0.99
  144              0      0.01     1.984       300   0.00349         0      0.99
  145              0      0.01     2.058        73    0.0061         0      0.99
  151              0      0.01     1.874       400   0.00737         0      0.99
  152              0      0.01     2.078       163   0.00635         0      0.99
  153              0      0.01     2.090       235   0.00711         0      0.99
  154              0      0.01     2.114       138   0.00253         0      0.99
  155              0      0.01     2.088        80   0.00499         0      0.99
  161              0      0.01     2.081       400   0.00274         0      0.99
  162              0      0.01     2.103       175   0.00166         0      0.99
  163              0      0.01     1.966       154   0.00254         0      0.99
  164              0      0.01     2.051       181   0.00194         0      0.99
  165              0      0.01     2.044        80   0.00468         0      0.99
  171              0      0.01     2.067       400   0.00465         0      0.99
  172              0      0.01     2.070       166   0.00361         0      0.99
  173              0      0.01     2.105       223   0.00403         0      0.99
  174              0      0.01     2.120       192   0.00319         0      0.99
  175              0      0.01     2.057        80   0.00612         0      0.99
  181              0      0.01     0.824       400   0.00156         0      0.99
  182              0      0.01     1.045       175   0.00131         0      0.99
  183              0      0.01     1.078       240   0.00112         0      0.99
  184              0      0.01     0.894       239   0.00056         0      0.99
  185              0      0.01     1.040        80   0.00153         0      0.99
  191              0      0.01     0.767       400   0.00151         0      0.99
  192              0      0.01     1.016       177   0.00241         0      0.99
  193              0      0.01     1.051       232   0.00757         0      0.99
  194              0      0.01     1.063       205   0.00463         0      0.99
  195              0      0.01     0.939        80   0.00226         0      0.99
  201              0      0.01     0.747       400   0.00278         0      0.99
  202              0      0.01     0.833       163   0.00331         0      0.99
  203              0      0.01     0.870       198   0.00295         0      0.99
  204              0      0.01     0.826       236   0.00524         0      0.99
  205              0      0.01     0.786        75   0.00301         0      0.99
  211              0      0.01     0.852       400   0.00235         0      0.99
  212              0      0.01     0.856       162   0.00254         0      0.99
  213              0      0.01     0.861       234   0.00195         0      0.99
  214              0      0.01     0.860       300   0.00488         0      0.99
  215              0      0.01     0.857        63   0.00334         0      0.99
  221              0      0.01     0.704       400   0.00312         0      0.99
  222              0      0.01     0.820       172   0.00296         0      0.99
  223              0      0.01     0.857       225   0.00288         0      0.99
  224              0      0.01     0.956       300   0.00228         0      0.99
  225              0      0.01     0.816        62   0.00355         0      0.99
  231              0      0.01     3.052       400   0.00187         0      0.99
  232              0      0.01     3.158       194   0.00161         0      0.99
  233              0      0.01     3.245       177   0.00243         0      0.99
  234              0      0.01     3.250       110   0.00143         0      0.99
  235              0      0.01     3.168        64    0.0024         0      0.99
  241              0      0.01     1.108       400   0.00374         0      0.99
  242              0      0.01     1.107       161   0.00398         0      0.99
  243              0      0.01     1.108       237   0.00391         0      0.99
  244              0      0.01     1.108       277    0.0043         0      0.99
  245              0      0.01     1.107        62   0.00381         0      0.99
  251              0      0.01     1.058       400   0.00257         0      0.99
