  PWAT-PARM2
*** < PLS>    FOREST      LZSN    INFILT      LSUR     SLSUR     KVARY     AGWRC
*** x  - x                (in)   (in/hr)      (ft)              (1/in)   (1/day)
***<IHM_PWAT_PARM2>
   11              0      0.01     0.277       400   0.00118         0      0.99
   12              0      0.01     0.277       177   0.00204         0      0.99
   13              0      0.01     0.280       240   0.00546         0      0.99
   14              0      0.01     0.277       140   0.00257         0      0.99
   15              0      0.01     0.279        76   0.00298         0      0.99
   21              0      0.01     1.221       400   0.00073         0      0.99
   22              0      0.01     1.274       174   0.00108         0      0.99
   23              0      0.01     1.281       215   0.00557         0      0.99
   24              0      0.01     1.184       256   0.00296         0      0.99
   25              0      0.01     1.309        76   0.00355         0      0.99
   31              0      0.01     0.118       400   0.00083         0      0.99
   32              0      0.01     0.125       190   0.00082         0      0.99
   33              0      0.01     0.141       173   0.00282         0      0.99
   34              0      0.01     0.122       195   0.00282         0      0.99
   35              0      0.01     0.126        76   0.00232         0      0.99
   41              0      0.01     0.912       400   0.01402         0      0.99
   42              0      0.01     0.916       160   0.00929         0      0.99
   43              0      0.01     0.916       220   0.01188         0      0.99
   44              0      0.01     0.913       120   0.00838         0      0.99
   45              0      0.01     0.915        69   0.00969         0      0.99
   51              0      0.01     0.107       400   0.00221         0      0.99
   52              0      0.01     0.125       187   0.00299         0      0.99
   53              0      0.01     0.130       169     0.008         0      0.99
   54              0      0.01     0.120       185    0.0031         0      0.99
   55              0      0.01     0.130        66   0.00641         0      0.99
   61              0      0.01     0.859       400   0.00063         0      0.99
   62              0      0.01     0.897       225   0.00058         0      0.99
   64              0      0.01     0.910       300    0.0029         0      0.99
   65              0      0.01     0.903        80    0.0004         0      0.99
   71              0      0.01     0.959       400   0.00626         0      0.99
   72              0      0.01     0.911       167   0.00825         0      0.99
   73              0      0.01     0.919       224   0.01392         0      0.99
   74              0      0.01     0.862       182   0.00753         0      0.99
   75              0      0.01     0.915        68   0.00781         0      0.99
   81              0      0.01     0.127       400   0.00086         0      0.99
   82              0      0.01     0.123       172   0.00259         0      0.99
   83              0      0.01     0.125       239   0.00418         0      0.99
   85              0      0.01     0.125        79   0.00202         0      0.99
   91              0      0.01     0.117       400   0.00133         0      0.99
   92              0      0.01     0.113       162   0.00154         0      0.99
   93              0      0.01     0.113       100   0.00081         0      0.99
   94              0      0.01     0.130       300   0.00256         0      0.99
   95              0      0.01     0.123        68    0.0016         0      0.99
  101              0      0.01     1.511       400   0.00531         0      0.99
  102              0      0.01     1.581       165   0.00561         0      0.99
  103              0      0.01     1.596       169    0.0045         0      0.99
  104              0      0.01     0.851       145   0.00519         0      0.99
  105              0      0.01     1.693        72   0.00557         0      0.99
  111              0      0.01     3.732       400   0.01167         0      0.99
  112              0      0.01     4.081       163   0.00939         0      0.99
  113              0      0.01     4.488       222   0.01466         0      0.99
  114              0      0.01     3.825       224   0.01193         0      0.99
  115              0      0.01     4.036        69   0.00928         0      0.99
  121              0      0.01     1.704       400   0.00988         0      0.99
  122              0      0.01     1.679       160   0.01068         0      0.99
  123              0      0.01     1.680       164   0.01031         0      0.99
  124              0      0.01     1.682       261   0.01004         0      0.99
  125              0      0.01     1.729        74   0.00825         0      0.99
  131              0      0.01     1.679       400   0.00917         0      0.99
  132              0      0.01     1.683       160   0.00808         0      0.99
  133              0      0.01     1.683        98    0.0061         0      0.99
  134              0      0.01     1.656       230   0.00616         0      0.99
  135              0      0.01     1.641        80   0.00929         0      0.99
  141              0      0.01     3.791       400   0.00788         0      0.99
  142              0      0.01     3.936       163   0.00894         0      0.99
  143              0      0.01     4.270       180   0.00972         0      0.99
  144              0      0.01     2.721       118   0.00826         0      0.99
  145              0      0.01     3.869        72    0.0088         0      0.99
  151              0      0.01     0.127       400   0.00927         0      0.99
  152              0      0.01     0.127       163   0.00973         0      0.99
  153              0      0.01     0.122       187   0.01369         0      0.99
  154              0      0.01     0.125       223   0.01372         0      0.99
  155              0      0.01     0.128        78   0.00879         0      0.99
  161              0      0.01     0.128       400   0.00296         0      0.99
