  PWAT-PARM2
*** < PLS>    FOREST      LZSN    INFILT      LSUR     SLSUR     KVARY     AGWRC
*** x  - x                (in)   (in/hr)      (ft)              (1/in)   (1/day)
***<IHM_PWAT_PARM2>
  131              0      0.01     1.011       400   0.00218         0      0.99
  132              0      0.01     1.035       179   0.00198         0      0.99
  133              0      0.01     1.028       189   0.00166         0      0.99
  134              0      0.01     1.082       100   0.00184         0      0.99
  135              0      0.01     1.019        51   0.00261         0      0.99
  291              0      0.01     0.397       400   0.00266         0      0.99
  292              0      0.01     0.394       163   0.00354         0      0.99
  293              0      0.01     0.395        86   0.00303         0      0.99
  294              0      0.01     0.396       300   0.00228         0      0.99
  295              0      0.01     0.403        70   0.00644         0      0.99
  301              0      0.01     0.371       400   0.00299         0      0.99
  302              0      0.01     0.372       170   0.00243         0      0.99
  303              0      0.01     0.385       155   0.00926         0      0.99
  304              0      0.01     0.373       300   0.00808         0      0.99
  305              0      0.01     0.375        49    0.0032         0      0.99
  311              0      0.01     0.370       400   0.00288         0      0.99
  312              0      0.01     0.382       179   0.00242         0      0.99
  313              0      0.01     0.389        84   0.00318         0      0.99
  314              0      0.01     0.404       262     0.002         0      0.99
  315              0      0.01     0.343        76   0.00178         0      0.99
  321              0      0.01     0.404       400    0.0027         0      0.99
  322              0      0.01     0.395       166   0.00332         0      0.99
  323              0      0.01     0.395       240   0.00588         0      0.99
  324              0      0.01     0.395       246   0.00237         0      0.99
  325              0      0.01     0.395        79   0.00391         0      0.99
  331              0      0.01     0.395       400   0.00267         0      0.99
  332              0      0.01     0.385       176   0.00175         0      0.99
  333              0      0.01     0.385       203   0.00227         0      0.99
  334              0      0.01     0.354       300   0.00058         0      0.99
  335              0      0.01     0.384        71   0.00204         0      0.99
  341              0      0.01     1.218       400   0.00115         0      0.99
  342              0      0.01     1.215       173   0.00089         0      0.99
  343              0      0.01     1.222       240   0.00245         0      0.99
  345              0      0.01     1.222        68   0.00122         0      0.99
  351              0      0.01     1.245       400   0.00168         0      0.99
  352              0      0.01     1.222       191   0.00128         0      0.99
  354              0      0.01     1.222       300   0.00122         0      0.99
  355              0      0.01     1.236        62   0.00251         0      0.99
  371              0      0.01     1.264       400   0.00228         0      0.99
  372              0      0.01     1.230       208    0.0019         0      0.99
  373              0      0.01     1.194       172   0.00314         0      0.99
  374              0      0.01     1.535       300   0.00149         0      0.99
  375              0      0.01     1.392        73   0.00525         0      0.99
  381              0      0.01     4.716       400   0.00348         0      0.99
  382              0      0.01     4.458       175   0.00289         0      0.99
  383              0      0.01     4.569       174   0.00314         0      0.99
  385              0      0.01     4.303        48   0.00339         0      0.99
  401              0      0.01     0.418       400   0.00334         0      0.99
  402              0      0.01     0.380       174   0.00225         0      0.99
  403              0      0.01     0.387       171   0.00263         0      0.99
  405              0      0.01     0.353        44   0.00298         0      0.99
  411              0      0.01     4.559       400   0.00163         0      0.99
  412              0      0.01     4.607       175   0.00086         0      0.99
  413              0      0.01     4.368       223   0.00186         0      0.99
  414              0      0.01     4.550       300   0.00093         0      0.99
  415              0      0.01     4.546        62   0.00131         0      0.99
  421              0      0.01     1.219       400   0.00072         0      0.99
  422              0      0.01     1.464       175   0.00096         0      0.99
  423              0      0.01     1.480       240   0.00162         0      0.99
  425              0      0.01     1.477        69   0.00169         0      0.99
  431              0      0.01     1.438       400   0.00095         0      0.99
  432              0      0.01     1.472       223   0.00091         0      0.99
  434              0      0.01     1.480       300   0.00173         0      0.99
  435              0      0.01     1.472        80   0.00102         0      0.99
  441              0      0.01     1.101       400   0.00057         0      0.99
  442              0      0.01     1.499       161   0.00103         0      0.99
  444              0      0.01     1.490       245   0.00155         0      0.99
  445              0      0.01     1.483        56    0.0012         0      0.99
  451              0      0.01     1.522       400   0.00261         0      0.99
  452              0      0.01     1.480       181   0.00121         0      0.99
  455              0      0.01     1.801        80   0.00189         0      0.99
  461              0      0.01     1.680       400   0.00337         0      0.99
  462              0      0.01     1.593       160    0.0025         0      0.99
  463              0      0.01     1.480       240   0.00277         0      0.99
  464              0      0.01     1.480       300   0.00142         0      0.99
  465              0      0.01     1.537        60   0.00252         0      0.99
  471              0      0.01     1.524       400   0.00252         0      0.99
  472              0      0.01     1.535       163   0.00126         0      0.99
  473              0      0.01     1.480       240   0.00139         0      0.99
  474              0      0.01     1.480       300   0.00015         0      0.99
  475              0      0.01     1.485        68   0.00094         0      0.99
  481              0      0.01     1.503       400    0.0017         0      0.99
  482              0      0.01     1.488       160   0.00104         0      0.99
  483              0      0.01     1.480        80   0.00149         0      0.99
  484              0      0.01     1.445       116   0.00027         0      0.99
  485              0      0.01     1.521        57   0.00069         0      0.99
  491              0      0.01     0.131       400   0.00156         0      0.99
  492              0      0.01     0.131       160   0.00094         0      0.99
  493              0      0.01     0.129       160   0.00288         0      0.99
  494              0      0.01     0.130       300    0.0002         0      0.99
  495              0      0.01     0.129        47    0.0013         0      0.99
  501              0      0.01     1.300       400   0.00182         0      0.99
  502              0      0.01     1.313       168   0.00105         0      0.99
  503              0      0.01     1.300       143   0.00108         0      0.99
  504              0      0.01     1.300       188   0.00253         0      0.99
  505              0      0.01     1.305        56   0.00194         0      0.99
