  PWAT-PARM3
*** < PLS>    PETMAX    PETMIN    INFEXP    INFILD    DEEPFR    BASETP    AGWETP
*** x  - x   (deg F)   (deg F)
***<IHM_PWAT_PARM3>
  131             40        35     5.960         2      1.00         0         0
  132             40        35     5.960         2      1.00         0         0
  133             40        35     5.960         2      1.00         0         0
  134             40        35     5.960         2      1.00         0         0
  135             40        35     5.960         2      1.00         0         0
  291             40        35     2.000         2      1.00         0         0
  292             40        35     2.000         2      1.00         0         0
  293             40        35     2.000         2      1.00         0         0
  294             40        35     2.000         2      1.00         0         0
  295             40        35     2.000         2      1.00         0         0
  301             40        35     2.000         2      1.00         0         0
  302             40        35     2.000         2      1.00         0         0
  303             40        35     2.000         2      1.00         0         0
  304             40        35     2.000         2      1.00         0         0
  305             40        35     2.000         2      1.00         0         0
  311             40        35     2.000         2      1.00         0         0
  312             40        35     2.000         2      1.00         0         0
  313             40        35     2.000         2      1.00         0         0
  314             40        35     2.000         2      1.00         0         0
  315             40        35     2.000         2      1.00         0         0
  321             40        35     2.000         2      1.00         0         0
  322             40        35     2.000         2      1.00         0         0
  323             40        35     2.000         2      1.00         0         0
  324             40        35     2.000         2      1.00         0         0
  325             40        35     2.000         2      1.00         0         0
  331             40        35     2.000         2      1.00         0         0
  332             40        35     2.000         2      1.00         0         0
  333             40        35     2.000         2      1.00         0         0
  334             40        35     2.000         2      1.00         0         0
  335             40        35     2.000         2      1.00         0         0
  341             40        35     2.900         2      1.00         0         0
  342             40        35     2.900         2      1.00         0         0
  343             40        35     2.900         2      1.00         0         0
  345             40        35     2.900         2      1.00         0         0
  351             40        35     2.900         2      1.00         0         0
  352             40        35     2.900         2      1.00         0         0
  354             40        35     2.900         2      1.00         0         0
  355             40        35     2.900         2      1.00         0         0
  371             40        35     2.900         2      1.00         0         0
  372             40        35     2.900         2      1.00         0         0
  373             40        35     2.900         2      1.00         0         0
  374             40        35     2.900         2      1.00         0         0
  375             40        35     2.900         2      1.00         0         0
  381             40        35     2.000         2      1.00         0         0
  382             40        35     2.000         2      1.00         0         0
  383             40        35     2.000         2      1.00         0         0
  385             40        35     2.000         2      1.00         0         0
  401             40        35     2.840         2      1.00         0         0
  402             40        35     2.840         2      1.00         0         0
  403             40        35     2.840         2      1.00         0         0
  405             40        35     2.840         2      1.00         0         0
  411             40        35     2.000         2      1.00         0         0
  412             40        35     2.000         2      1.00         0         0
  413             40        35     2.000         2      1.00         0         0
  414             40        35     2.000         2      1.00         0         0
  415             40        35     2.000         2      1.00         0         0
  421             40        35     4.177         2      1.00         0         0
  422             40        35     4.177         2      1.00         0         0
  423             40        35     4.177         2      1.00         0         0
  425             40        35     4.177         2      1.00         0         0
  431             40        35     4.177         2      1.00         0         0
  432             40        35     4.177         2      1.00         0         0
  434             40        35     4.177         2      1.00         0         0
  435             40        35     4.177         2      1.00         0         0
  441             40        35     4.177         2      1.00         0         0
  442             40        35     4.177         2      1.00         0         0
  444             40        35     4.177         2      1.00         0         0
  445             40        35     4.177         2      1.00         0         0
  451             40        35     4.177         2      1.00         0         0
  452             40        35     4.177         2      1.00         0         0
  455             40        35     4.177         2      1.00         0         0
  461             40        35     4.177         2      1.00         0         0
  462             40        35     4.177         2      1.00         0         0
  463             40        35     4.177         2      1.00         0         0
  464             40        35     4.177         2      1.00         0         0
  465             40        35     4.177         2      1.00         0         0
  471             40        35     4.177         2      1.00         0         0
  472             40        35     4.177         2      1.00         0         0
  473             40        35     4.177         2      1.00         0         0
  474             40        35     4.177         2      1.00         0         0
  475             40        35     4.177         2      1.00         0         0
  481             40        35     4.177         2      1.00         0         0
  482             40        35     4.177         2      1.00         0         0
  483             40        35     4.177         2      1.00         0         0
  484             40        35     4.177         2      1.00         0         0
  485             40        35     4.177         2      1.00         0         0
  491             40        35     2.780         2      1.00         0         0
  492             40        35     2.780         2      1.00         0         0
  493             40        35     2.780         2      1.00         0         0
  494             40        35     2.780         2      1.00         0         0
  495             40        35     2.780         2      1.00         0         0
  501             40        35     3.180         2      1.00         0         0
  502             40        35     3.180         2      1.00         0         0
  503             40        35     3.180         2      1.00         0         0
  504             40        35     3.180         2      1.00         0         0
  505             40        35     3.180         2      1.00         0         0
  511             40        35     3.180         2      1.00         0         0
  512             40        35     3.180         2      1.00         0         0
  513             40        35     3.180         2      1.00         0         0
  515             40        35     3.180         2      1.00         0         0
  521             40        35     2.840         2      1.00         0         0
  522             40        35     2.840         2      1.00         0         0
  523             40        35     2.840         2      1.00         0         0
  524             40        35     2.840         2      1.00         0         0
  525             40        35     2.840         2      1.00         0         0
  531             40        35     4.440         2      1.00         0         0
  532             40        35     4.440         2      1.00         0         0
  533             40        35     4.440         2      1.00         0         0
  534             40        35     4.440         2      1.00         0         0
  535             40        35     4.440         2      1.00         0         0
  541             40        35     4.340         2      1.00         0         0
  542             40        35     4.340         2      1.00         0         0
  543             40        35     4.340         2      1.00         0         0
  544             40        35     4.340         2      1.00         0         0
  545             40        35     4.340         2      1.00         0         0
  551             40        35     4.340         2      1.00         0         0
  552             40        35     4.340         2      1.00         0         0
  553             40        35     4.340         2      1.00         0         0
  554             40        35     4.340         2      1.00         0         0
  555             40        35     4.340         2      1.00         0         0
  561             40        35     4.340         2      1.00         0         0
  562             40        35     4.340         2      1.00         0         0
  563             40        35     4.340         2      1.00         0         0
  565             40        35     4.340         2      1.00         0         0
  571             40        35     4.340         2      1.00         0         0
  572             40        35     4.340         2      1.00         0         0
  573             40        35     4.340         2      1.00         0         0
  574             40        35     4.340         2      1.00         0         0
  575             40        35     4.340         2      1.00         0         0
  581             40        35     4.440         2      1.00         0         0
