  SCHEMATIC
<-Volume->                  <--Area-->     <-Volume->  <ML#> ***       <sb>
<Name>   x                  <-factor->     <Name>   x        ***        x x
*** Each COPY operation holds the inflow for up to 10 reaches.  For example,
*** COPY 80 members 1-10 hold the data for reaches 80-89, so the member
*** subscript is one more than the ones digit of the reach number.  All of
*** the COPY outputs are written to the transfer WDM file, with the dataset
*** number matching the reach number.  The transfers are all in acre-feet/day.

*** In the MASS-LINK table number, the tens digit matches the reach number,
*** while the ones digit indicates PERLND (1) or IMPLND (2).
***<IHM_SCHEMATIC>
PERLND  11                    3907.304     COPY     1     11
PERLND  11                    2095.140     COPY   300     11
PERLND  12                   12797.783     COPY     1     11
PERLND  12                    6862.315     COPY   300     11
PERLND  13                    2956.227     COPY     1     11
PERLND  13                    1585.162     COPY   300     11
PERLND  14                     536.519     COPY     1     11
PERLND  14                     287.687     COPY   300     11
PERLND  15                     377.584     COPY     1     11
PERLND  15                     202.465     COPY   300     11
PERLND  21                    5154.433     COPY     1     21
PERLND  21                    1022.629     COPY   200     11
PERLND  21                    7305.404     COPY   300     21
PERLND  22                   14145.197     COPY     1     21
PERLND  22                    2806.378     COPY   200     11
PERLND  22                   20048.060     COPY   300     21
PERLND  23                     160.798     COPY     1     21
PERLND  23                      31.902     COPY   200     11
PERLND  23                     227.900     COPY   300     21
PERLND  24                      87.209     COPY     1     21
PERLND  24                      17.302     COPY   200     11
PERLND  24                     123.602     COPY   300     21
PERLND  25                     374.514     COPY     1     21
PERLND  25                      74.303     COPY   200     11
PERLND  25                     530.801     COPY   300     21
PERLND  31                    1883.525     COPY     1     31
PERLND  31                    3830.909     COPY   300     31
PERLND  32                    7695.946     COPY     1     31
PERLND  32                   15652.816     COPY   300     31
PERLND  33                     138.421     COPY     1     31
PERLND  33                     281.536     COPY   300     31
PERLND  34                     205.005     COPY     1     31
PERLND  34                     416.960     COPY   300     31
PERLND  35                    1844.348     COPY     1     31
PERLND  35                    3751.226     COPY   300     31
PERLND  41                     683.630     COPY     1     41
PERLND  41                    1614.046     COPY   300     41
PERLND  42                    2373.838     COPY     1     41
PERLND  42                    5604.621     COPY   300     41
PERLND  43                     664.862     COPY     1     41
PERLND  43                    1569.736     COPY   300     41
PERLND  44                      17.876     COPY     1     41
PERLND  44                      42.206     COPY   300     41
PERLND  45                     810.498     COPY     1     41
PERLND  45                    1913.582     COPY   300     41
PERLND  51                      87.651     COPY     1     51
PERLND  51                     650.867     COPY   200     21
PERLND  51                    3626.949     COPY   300     51
PERLND  52                     187.703     COPY     1     51
PERLND  52                    1393.809     COPY   200     21
PERLND  52                    7766.988     COPY   300     51
PERLND  53                      19.413     COPY     1     51
PERLND  53                     144.152     COPY   200     21
PERLND  53                     803.285     COPY   300     51
PERLND  54                       6.179     COPY     1     51
PERLND  54                      45.885     COPY   200     21
PERLND  54                     255.696     COPY   300     51
PERLND  55                      20.376     COPY     1     51
PERLND  55                     151.302     COPY   200     21
PERLND  55                     843.130     COPY   300     51
PERLND  61                    2562.394     COPY     1     61
PERLND  61                     913.712     COPY   200     31
PERLND  61                   17472.569     COPY   300     61
PERLND  62                    1292.014     COPY     1     61
PERLND  62                     460.713     COPY   200     31
PERLND  62                    8810.041     COPY   300     61
PERLND  64                      10.852     COPY     1     61
PERLND  64                       3.870     COPY   200     31
PERLND  64                      73.996     COPY   300     61
PERLND  65                       9.757     COPY     1     61
PERLND  65                       3.479     COPY   200     31
PERLND  65                      66.535     COPY   300     61
PERLND  71                     998.023     COPY     1     71
PERLND  71                    1268.881     COPY   200     31
PERLND  71                    7519.354     COPY   300     71
PERLND  72                    1209.478     COPY     1     71
PERLND  72                    1537.723     COPY   200     31
PERLND  72                    9112.505     COPY   300     71
PERLND  73                     186.657     COPY     1     71
PERLND  73                     237.315     COPY   200     31
PERLND  73                    1406.321     COPY   300     71
PERLND  74                      10.874     COPY     1     71
PERLND  74                      13.825     COPY   200     31
PERLND  74                      81.924     COPY   300     71
PERLND  75                     375.782     COPY     1     71
PERLND  75                     477.767     COPY   200     31
PERLND  75                    2831.234     COPY   300     71
PERLND  81                    4546.288     COPY     1     81
PERLND  81                   11165.871     COPY   300     81
PERLND  82                    3955.171     COPY     1     81
PERLND  82                    9714.063     COPY   300     81
PERLND  83                     370.561     COPY     1     81
PERLND  83                     910.114     COPY   300     81
PERLND  85                      34.296     COPY     1     81
PERLND  85                      84.233     COPY   300     81
PERLND  91                    1253.171     COPY     1     91
PERLND  91                     394.979     COPY   200     51
PERLND  91                    6668.900     COPY   300     91
PERLND  92                    1950.987     COPY     1     91
PERLND  92                     614.920     COPY   200     51
PERLND  92                   10382.415     COPY   300     91
PERLND  93                      31.773     COPY     1     91
PERLND  93                      10.014     COPY   200     51
PERLND  93                     169.082     COPY   300     91
PERLND  94                       2.092     COPY     1     91
PERLND  94                        .659     COPY   200     51
PERLND  94                      11.131     COPY   300     91
PERLND  95                      78.937     COPY     1     91
PERLND  95                      24.880     COPY   200     51
PERLND  95                     420.071     COPY   300     91
