  SCHEMATIC
<-Volume->                  <--Area-->     <-Volume->  <ML#> ***       <sb>
<Name>   x                  <-factor->     <Name>   x        ***        x x
*** Each COPY operation holds the inflow for up to 10 reaches.  For example,
*** COPY 80 members 1-10 hold the data for reaches 80-89, so the member
*** subscript is one more than the ones digit of the reach number.  All of
*** the COPY outputs are written to the transfer WDM file, with the dataset
*** number matching the reach number.  The transfers are all in acre-feet/day.

*** In the MASS-LINK table number, the tens digit matches the reach number,
*** while the ones digit indicates PERLND (1) or IMPLND (2).
***<IHM_SCHEMATIC>
PERLND 131                      62.433     COPY   130      1
PERLND 131                     283.569     COPY   430      1
PERLND 132                      45.187     COPY   130      1
PERLND 132                     205.238     COPY   430      1
PERLND 133                      71.929     COPY   130      1
PERLND 133                     326.698     COPY   430      1
PERLND 134                       1.536     COPY   130      1
PERLND 134                       6.975     COPY   430      1
PERLND 135                     658.298     COPY   130      1
PERLND 135                    2989.964     COPY   430      1
PERLND 291                     890.651     COPY    20     91
PERLND 291                     154.738     COPY   200     91
PERLND 291                    3411.218     COPY   320     91
PERLND 292                    1901.838     COPY    20     91
PERLND 292                     330.417     COPY   200     91
PERLND 292                    7284.088     COPY   320     91
PERLND 293                     153.262     COPY    20     91
PERLND 293                      26.627     COPY   200     91
PERLND 293                     586.999     COPY   320     91
PERLND 294                      74.593     COPY    20     91
PERLND 294                      12.960     COPY   200     91
PERLND 294                     285.694     COPY   320     91
PERLND 295                     838.127     COPY    20     91
PERLND 295                     145.612     COPY   200     91
PERLND 295                    3210.049     COPY   320     91
PERLND 301                     328.722     COPY    30      1
PERLND 301                    3881.778     COPY   330      1
PERLND 302                     395.315     COPY    30      1
PERLND 302                    4668.155     COPY   330      1
PERLND 303                      43.342     COPY    30      1
PERLND 303                     511.816     COPY   330      1
PERLND 304                       5.947     COPY    30      1
PERLND 304                      70.228     COPY   330      1
PERLND 305                       5.424     COPY    30      1
PERLND 305                      64.049     COPY   330      1
PERLND 311                     405.871     COPY    30     11
PERLND 311                     367.851     COPY   330     11
PERLND 312                    1549.970     COPY    30     11
PERLND 312                    1404.774     COPY   330     11
PERLND 313                     576.761     COPY    30     11
PERLND 313                     522.732     COPY   330     11
PERLND 314                      50.305     COPY    30     11
PERLND 314                      45.593     COPY   330     11
PERLND 315                     285.967     COPY    30     11
PERLND 315                     259.178     COPY   330     11
PERLND 321                     161.204     COPY    30     21
PERLND 321                     295.624     COPY   200     91
PERLND 321                     509.539     COPY   330     21
PERLND 322                     226.463     COPY    30     21
PERLND 322                     415.299     COPY   200     91
PERLND 322                     715.811     COPY   330     21
PERLND 323                       8.269     COPY    30     21
PERLND 323                      15.164     COPY   200     91
PERLND 323                      26.136     COPY   330     21
PERLND 324                       3.011     COPY    30     21
PERLND 324                       5.522     COPY   200     91
PERLND 324                       9.518     COPY   330     21
PERLND 325                     124.143     COPY    30     21
PERLND 325                     227.659     COPY   200     91
PERLND 325                     392.394     COPY   330     21
PERLND 331                     160.480     COPY    30     31
PERLND 331                     202.267     COPY   210      1
PERLND 331                    1884.362     COPY   330     31
PERLND 332                     165.264     COPY    30     31
PERLND 332                     208.298     COPY   210      1
PERLND 332                    1940.542     COPY   330     31
PERLND 333                       9.783     COPY    30     31
PERLND 333                      12.331     COPY   210      1
PERLND 333                     114.877     COPY   330     31
PERLND 334                        .368     COPY    30     31
PERLND 334                        .464     COPY   210      1
PERLND 334                       4.326     COPY   330     31
PERLND 335                      37.219     COPY    30     31
PERLND 335                      46.910     COPY   210      1
PERLND 335                     437.025     COPY   330     31
PERLND 341                     378.377     COPY    30     41
PERLND 341                     566.383     COPY   330     41
PERLND 342                    1114.991     COPY    30     41
PERLND 342                    1669.004     COPY   330     41
PERLND 343                      14.968     COPY    30     41
PERLND 343                      22.405     COPY   330     41
PERLND 345                      20.493     COPY    30     41
PERLND 345                      30.676     COPY   330     41
PERLND 351                      15.451     COPY    30     51
PERLND 351                     195.043     COPY   210     11
PERLND 351                      90.197     COPY   210     21
PERLND 351                    1579.305     COPY   330     51
PERLND 352                      13.410     COPY    30     51
PERLND 352                     169.277     COPY   210     11
PERLND 352                      78.282     COPY   210     21
PERLND 352                    1370.670     COPY   330     51
PERLND 354                        .021     COPY    30     51
PERLND 354                        .259     COPY   210     11
PERLND 354                        .120     COPY   210     21
PERLND 354                       2.096     COPY   330     51
PERLND 355                       5.061     COPY    30     51
PERLND 355                      63.888     COPY   210     11
PERLND 355                      29.545     COPY   210     21
PERLND 355                     517.311     COPY   330     51
PERLND 371                     398.810     COPY    30     71
PERLND 371                     505.730     COPY   210     21
PERLND 371                    1894.156     COPY   330     71
PERLND 372                     142.738     COPY    30     71
PERLND 372                     181.005     COPY   210     21
PERLND 372                     677.935     COPY   330     71
PERLND 373                      17.030     COPY    30     71
PERLND 373                      21.595     COPY   210     21
PERLND 373                      80.882     COPY   330     71
PERLND 374                       2.266     COPY    30     71
PERLND 374                       2.874     COPY   210     21
PERLND 374                      10.763     COPY   330     71
